Location name,lat,long,Address,Day of Week,,,
Downtown/UVA | Wellhouse Ministry Cafe,38.033221,-78.494803,118 10 1/2 St NW Charlottesville VA 22903,Monday,,,
Crozet | Old Trail Village,38.0583504,-78.7102107,1015 Heathercroft Cir Crozet VA 22932,Monday,,,
Rio Road East | City Church Charlottesville,38.0633851,-78.4638748,1010 E Rio Rd Charlottesville VA 22901,Monday,,,
Fry's Spring | Fry's Spring Beach Club,38.0183704,-78.514267,2512 Jefferson Park Ave Charlottesville VA 22903,Monday,,,
29 North | Walgreens,38.131451,-78.4350995,3489 Seminole Trail Charlottesville VA 22911,Monday,,,
Boars Head/Ivy | West of Boar's Head Inn (250 West),38.05102234,-78.54444412,2826 Ivy Rd Charlottesville VA 22903,Tuesday,,,
Downtown | SNL Financial,38.0307077,-78.475713,212 7th St NE Charlottesville VA 22902,Tuesday,,,
McIntire Plaza | Great Harvest Bread Co,38.0413091,-78.4773861,1701 Allied Ln Charlottesville VA 22903,Tuesday,,,
Belmont | Relay Fulfillment Center - Carlton Ave,38.0221131,-78.467284,1317 Carlton Ave Charlottesville VA 22902,Tuesday,,,
Avon Ext. | Edgecomb's Imported Auto,38.01444568,-78.4869228,2005 Avon Street Extended Charlottesville VA 22902,Tuesday,,,
Piedmont Virginia Community College | Stultz Center,38.0062539,-78.480453,501 College Drive Charlottesville VA 22902,Wednesday,,,
Pantops | Shadwell's Restaurant (Topeka Steakhouse),38.025573,-78.4384,1791 Richmond Rd Charlottesville VA 22911,Wednesday,,,
Downtown | IX Building,38.0244065,-78.48290847,969 2nd St SE Charlottesville VA 22902,Wednesday,,,
UVA Main Grounds | Scott Stadium - West Gate,38.0302304,-78.514849,1815 Stadium Rd Charlottesville VA 22903,Wednesday,,,
Lake Monticello | 6440 Thomas Jefferson Parkway,37.910131,-78.347582,6440 Thomas Jefferson Pkwy Palmyra VA 22963,Thursday,,,
Fry's Spring | Fry's Spring Beach Club,38.0183704,-78.514267,2512 Jefferson Park Ave Charlottesville VA 22903,Thursday,,,
Belmont | The Bridge PAI,38.0272305,-78.4767765,209 Monticello Rd Charlottesville VA 22902,Thursday,,,
Downtown | SNL Financial,38.0307077,-78.475713,212 7th St NE Charlottesville VA 22902,Friday,,,
Ivy | Toddsbury of Ivy,38.056191,-78.596102,4297 Ivy Rd Charlottesville VA 22903,Friday,,,
Crozet | Starr Hill Brewery,38.0692275,-78.686697,5391 Three Notched Rd Crozet VA 22932,Friday,,,
Barracks Shopping Center | BB&T on Barrack's Road,38.055318,-78.50108,2149 Barracks Road Charlottesville VA 22903,Friday,,,
Afton | Rockfish Valley Community Center,37.9230243,-78.8424165,190 Rockfish School Ln Afton VA 22920,Friday,,,
